B1B032110,模拟电子技术基础(全汉语),,,,,学院路校区,"唐  瑶◇[1周]星期三第1,2节,星期一第1,2节,[2-17周]星期一第1,2节,星期三第1,2节◇(一)202,主M204◇",工程基础类,必修,自动化科学与电气工程学院,4.0,54/100 对外:1/7
B1B032120,数字电子技术基础(全汉语),,,,,学院路校区,"王建华◇[1-17单周]星期一第7,8节,[1-17周]星期三第7,8节◇主M204◇",工程基础类,必修,自动化科学与电气工程学院,3.0,52/100 对外:0/5
B1B033010,微机原理及接口技术(全汉语),,,,,学院路校区,"李  妮◇[1-13周]星期四第3,4节,[1周]星期三第9,10节,[2-13周]星期一第5,6节◇主南210,主南303◇",工程基础类,必修,自动化科学与电气工程学院,3.0,1/95 对外:0/0
B1B033010,微机原理及接口技术(全汉语),,,,,学院路校区,"林  新◇[1-13周]星期四第3,4节,[1-13周]星期一第5,6节◇主南305◇",工程基础类,必修,自动化科学与电气工程学院,3.0,46/95 对外:0/0
B1B033010,微机原理及接口技术(全汉语),,,,,学院路校区,"刘  丽◇[1-13周]星期四第3,4节,[1-13周]星期一第5,6节◇(一)304◇",工程基础类,必修,自动化科学与电气工程学院,3.0,4/110 对外:0/0
B1B033021,电气技术实践（2）（全英文）(全英语),,,,,学院路校区,"黄亚玲◇[1-11周]星期五第11,12节,[1-11周]星期五第9,10节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.0,4/25 对外:0/0
B1B033021,电气技术实践（2）（全英文）(全英语),,,,,学院路校区,"黄亚玲◇[1-11周]星期三第11,12节,[1-11周]星期三第9,10节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.0,4/25 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[11-16双周]星期四第5,6节,[11-16双周]星期四第7,8节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,-1/26 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[11-16双周]星期三第1,2节,[11-16双周]星期三第3,4节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,0/31 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[11-16双周]星期三第5,6节,[11-16双周]星期三第7,8节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,0/24 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[11-16双周]星期二第5,6节,[11-16双周]星期二第7,8节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,0/26 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[13-18单周]星期四第11,12节,[13-18单周]星期四第9,10节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,4/35 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[13-18单周]星期三第1,2节,[13-18单周]星期三第3,4节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,0/29 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[13-18单周]星期三第5,6节,[13-18单周]星期三第7,8节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,-1/24 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[13-18单周]星期二第5,6节,[13-18单周]星期二第7,8节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,3/26 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[11-16双周]星期四第11,12节,[11-16双周]星期四第9,10节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,0/32 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"袁海斌◇[1-17周]星期一第1,2节◇主235◇*李  可◇[11-16双周]星期一第5,6节,[11-16双周]星期一第7,8节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,0/24 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"袁海斌◇[1-17周]星期一第1,2节◇主235◇*李  可◇[11-16双周]星期一第11,12节,[11-16双周]星期一第9,10节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,14/23 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"袁海斌◇[1-17周]星期一第1,2节◇主235◇*李  可◇[11-16双周]星期二第11,12节,[11-16双周]星期二第9,10节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,26/27 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"袁海斌◇[1-17周]星期一第1,2节◇主235◇*李  可◇[13-18单周]星期一第5,6节,[13-18单周]星期一第7,8节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,4/30 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"袁海斌◇[1-17周]星期一第1,2节◇主235◇*李  可◇[13-18单周]星期三第11,12节,[13-18单周]星期三第9,10节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,20/25 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"袁海斌◇[1-17周]星期一第1,2节◇主235◇*李  可◇[13-18单周]星期一第11,12节,[13-18单周]星期一第9,10节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,17/27 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"袁海斌◇[1-17周]星期一第1,2节◇主235◇*李  可◇[13-18单周]星期二第11,12节,[13-18单周]星期二第9,10节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,31/35 对外:0/0
B1B033110,电磁场基础(全汉语),,,,,学院路校区,"肖春燕,陈兴乐◇[1-5周]星期二第1,2节,[1-5周]星期四第3,4节,[6-15周]星期二第1,2节,[6-15周]星期四第3,4节◇C201◇",工程基础类,必修,自动化科学与电气工程学院,3.5,13/65 对外:0/0
B1B05085A,热工基础B(全汉语),,,,,学院路校区,"赵竞全◇[1-17周]星期一第5,6节◇主北305◇",工程基础类,选修,航空科学与工程学院,2.0,24/85 对外:0/0
B1B052110,空气动力学A(全汉语),,,,,学院路校区,"张  华◇[1-17周]星期二第1,2节,[1-17周]星期五第5,6节◇G201◇",工程基础类,必修,航空科学与工程学院,5.0,1/102 对外:0/0
B1B05317B,空气动力学B（1）(全汉语),,,,,学院路校区,"刘沛清,郭  昊◇[1-17双周]星期三第5,6节,[1周]星期一第5,6节,[2-17周]星期一第5,6节◇主北307◇",工程基础类,必修,航空科学与工程学院,3.0,249/295 对外:0/0
B1B073040,机械设计基础A(2)(全汉语),,,,,学院路校区,"李秀琴◇[1-17单周]星期五第3,4节,[1-17周]星期一第7,8节◇主南201◇",工程基础类,必修,机械工程及自动化学院,3.0,0/148 对外:4/10
B1B073040,机械设计基础A(2)(全汉语),,,,,学院路校区,"杨  洋◇[1-17单周]星期四第5,6节,[1-17周]星期一第5,6节◇主南201◇",工程基础类,必修,机械工程及自动化学院,3.0,14/140 对外:6/10
B1B073040,机械设计基础A(2)(全汉语),,,,,学院路校区,"裴  旭◇[1-17单周]星期四第5,6节,[1-17周]星期一第5,6节◇主南203◇",工程基础类,必修,机械工程及自动化学院,3.0,17/140 对外:7/10
B1B073040,机械设计基础A(2)(全汉语),,,,,学院路校区,"吴  琼◇[1-17单周]星期五第3,4节,[1-17周]星期一第7,8节◇主南203◇",工程基础类,必修,机械工程及自动化学院,3.0,25/140 对外:8/10
B1B073060,机械设计基础B(2)(全汉语),,,,,学院路校区,"陈心颐◇[1-17单周]星期五第1,2节,[1-17周]星期三第3,4节◇主南203◇",工程基础类,必修,机械工程及自动化学院,3.0,1/122 对外:1/10
B1B073060,机械设计基础B(2)(全汉语),,,,,学院路校区,"孙明磊◇[1-17单周]星期五第1,2节,[1-17周]星期三第3,4节◇主南303◇",工程基础类,必修,机械工程及自动化学院,3.0,76/120 对外:1/10
B1B073060,机械设计基础B(2)(全汉语),,,,,学院路校区,"蒋永刚◇[1-17单周]星期五第1,2节,[1-17周]星期三第3,4节◇主南305◇",工程基础类,必修,机械工程及自动化学院,3.0,0/123 对外:4/10
B1B073060,机械设计基础B(2)(全汉语),,,,,学院路校区,"王延忠◇[1-17单周]星期四第1,2节,[1-17周]星期一第3,4节◇主南203◇",工程基础类,必修,机械工程及自动化学院,3.0,0/120 对外:8/10
B1B073060,机械设计基础B(2)(全汉语),,,,,学院路校区,"宁凤艳◇[1-17单周]星期四第1,2节,[1-17周]星期一第3,4节◇主南303◇",工程基础类,必修,机械工程及自动化学院,3.0,63/120 对外:10/10
B1B073060,机械设计基础B(2)(全汉语),,,,,学院路校区,"王之栎,马  纲◇[1-4单周]星期五第1,2节,[1-4周]星期三第3,4节,[5-17单周]星期五第1,2节,[5-17周]星期三第3,4节◇主南201◇",工程基础类,必修,机械工程及自动化学院,3.0,75/120 对外:7/10
B1B073060,机械设计基础B(2)(全汉语),,,,,学院路校区,"王之栎◇[1-17单周]星期四第1,2节,[1-17周]星期一第3,4节◇主南201◇",工程基础类,必修,机械工程及自动化学院,3.0,70/120 对外:9/10
B1B073060,机械设计基础B(2)(全汉语),,,,,学院路校区,"刘继红,杨毅青◇[1-17单周]星期四第1,2节,[1-17周]星期一第3,4节◇主南305◇",工程基础类,必修,机械工程及自动化学院,3.0,6/120 对外:8/10
B1B073120,流体传动(全汉语),,,,,学院路校区,"张建斌◇[1-17周]星期一第1,2节◇F203◇",工程基础类,必修,机械工程及自动化学院,2.0,2/40 对外:4/5
B1B073120,流体传动(全汉语),,,,,学院路校区,"王秀凤,万  敏◇[1-17周]星期一第1,2节◇F205◇",工程基础类,必修,机械工程及自动化学院,2.0,5/40 对外:5/5
B1B073120,流体传动(全汉语),,,,,学院路校区,"吴向东◇[1-17周]星期一第1,2节◇F207◇",工程基础类,必修,机械工程及自动化学院,2.0,5/40 对外:5/5
B1B073120,流体传动(全汉语),,,,,学院路校区,"李卫东◇[1-17周]星期一第1,2节◇F222◇",工程基础类,必修,机械工程及自动化学院,2.0,2/40 对外:5/5
B1B073120,流体传动(全汉语),,,,,学院路校区,"关世伟◇[1-17周]星期三第1,2节◇F203◇",工程基础类,必修,机械工程及自动化学院,2.0,13/40 对外:0/7
B1B073120,流体传动(全汉语),,,,,学院路校区,"祁晓野◇[1-17周]星期一第1,2节◇F103◇",工程基础类,必修,机械工程及自动化学院,2.0,2/40 对外:5/5
B1B073120,流体传动(全汉语),,,,,学院路校区,"马俊功◇[1-17周]星期一第1,2节◇D218◇",工程基础类,必修,机械工程及自动化学院,2.0,27/40 对外:4/5
B1B073120,流体传动(全汉语),,,,,学院路校区,"李万国◇[1-17周]星期三第1,2节◇F222◇",工程基础类,必修,机械工程及自动化学院,2.0,11/40 对外:1/5
B1B103160,计算机组成原理与系统结构(全汉语),,,,,学院路校区,"刘  涛◇[1-17周]星期五第5,6节◇(一)402◇",工程基础类,必修,生物与医学工程学院,2.0,16/100 对外:1/11
B1B351111,计算机科学与程序设计,,,,,学院路校区,"Sebastian Wandelt◇[2-17周]星期一第1,2节◇主北303◇*Sebastian Wandelt◇[2-17周]星期二第3,4节◇F327◇",工程基础类,必修,国际通用工程学院,3.0,0/25 对外:0/0
B1B351111,计算机科学与程序设计,,,,,学院路校区,"Sebastian Wandelt◇[2-17周]星期一第1,2节◇主北303◇*Sebastian Wandelt◇[2-17周]星期二第1,2节◇F327◇",工程基础类,必修,国际通用工程学院,3.0,0/25 对外:0/0
B3B05314B,弹性力学*(全汉语),,,,,学院路校区,"杨振宇◇[1-17双周]星期一第1,2节,[1-17周]星期四第3,4节◇主南203◇",工程基础类,必修,航空科学与工程学院,3.0,182/287 对外:0/0
